Energy (eV),Intensity
2153.853774,0.0
2154.139106,0.0
2154.424438,0.0
2154.709771,0.0
2154.995103,0.0
2155.280436,0.0
2155.565768,0.0
2155.8511,0.0
2156.136433,0.0
2156.421765,0.0
2156.707097,0.0
2156.99243,0.0
2157.277762,0.0
2157.563095,0.0
2157.848427,0.0
2158.133759,0.0
2158.419092,0.0
2158.704424,0.0
2158.989756,0.0
2159.275089,0.0
2159.560421,0.0
2159.845753,0.0
2160.131086,0.0
2160.416418,0.0
2160.701751,0.0
2160.987083,0.0
2161.272415,0.0
2161.557748,0.0
2161.84308,0.0
2162.128412,0.0
2162.413745,0.0
2162.699077,0.0
2162.984409,0.0
2163.269742,0.0
2163.555074,0.0
2163.840407,0.0
2164.125739,0.0
2164.411071,0.0
2164.696404,0.0
2164.981736,0.0
2165.267068,0.0
2165.552401,0.0
2165.837733,0.0
2166.123065,0.0
2166.408398,0.0
2166.69373,0.0
2166.979063,0.0
2167.264395,0.0
2167.549727,0.0
2167.83506,0.0
2168.120392,0.0
2168.405724,0.0
2168.691057,0.0
2168.976389,0.0
2169.261721,0.0
2169.547054,0.0
2169.832386,0.0
2170.117719,0.0
2170.403051,0.0
2170.688383,0.0
2170.973716,0.0
2171.259048,0.0
2171.54438,0.0
2171.829713,0.0
2172.115045,0.0
2172.400378,0.0
2172.68571,0.0
2172.971042,0.0
2173.256375,0.0
2173.541707,0.0
2173.827039,0.0
2174.112372,0.0
2174.397704,0.0
2174.683036,0.0
2174.968369,0.0
2175.253701,0.0
2175.539034,0.0
2175.824366,0.0
2176.109698,0.0
2176.395031,0.0
2176.680363,0.0
2176.965695,0.0
2177.251028,0.0
2177.53636,0.0
2177.821692,0.0
2178.107025,0.0
2178.392357,0.0
2178.67769,0.0
2178.963022,0.0
2179.248354,0.0
2179.533687,0.0
2179.819019,0.0
2180.104351,0.0
2180.389684,0.0
2180.675016,0.0
2180.960348,0.0
2181.245681,0.0
2181.531013,0.0
2181.816346,0.0
2182.101678,0.0
2182.38701,0.0
2182.672343,0.0
2182.957675,0.0
2183.243007,0.0
2183.52834,0.0
2183.813672,0.0
2184.099004,0.0
2184.384337,0.0
2184.669669,0.0
2184.955002,0.0
2185.240334,0.0
2185.525666,0.0
2185.810999,0.0
2186.096331,0.0
2186.381663,0.0
2186.666996,0.0
2186.952328,0.0
2187.237661,0.0
2187.522993,0.0
2187.808325,0.0
2188.093658,0.0
2188.37899,0.0
2188.664322,0.0
2188.949655,0.0
2189.234987,0.0
2189.520319,0.0
2189.805652,0.0
2190.090984,0.0
2190.376317,0.0
2190.661649,0.0
2190.946981,0.0
2191.232314,0.0
2191.517646,0.0
2191.802978,0.0
2192.088311,0.0
2192.373643,0.0
2192.658975,0.0
2192.944308,0.0
2193.22964,0.0
2193.514973,0.0
2193.800305,0.0
2194.085637,0.0
2194.37097,0.0
2194.656302,0.0
2194.941634,0.0
2195.226967,0.0
2195.512299,0.0
2195.797631,0.0
2196.082964,0.0
2196.368296,0.0
2196.653629,0.0
2196.938961,0.0
2197.224293,0.0
2197.509626,0.0
2197.794958,0.0
2198.08029,0.0
2198.365623,0.0
2198.650955,0.0
2198.936287,0.0
2199.22162,0.0
2199.506952,0.0
2199.792285,0.0
2200.077617,0.0
2200.362949,0.0
2200.648282,0.0
2200.933614,0.0
2201.218946,0.0
2201.504279,0.0
2201.789611,0.0
2202.074944,0.0
2202.360276,0.0
2202.645608,0.0
2202.930941,0.0
2203.216273,0.0
2203.501605,0.0
2203.786938,0.0
2204.07227,0.0
2204.357602,0.0
2204.642935,0.0
2204.928267,0.0
2205.2136,0.0
2205.498932,0.0
2205.784264,0.0
2206.069597,0.0
2206.354929,0.0
2206.640261,0.0
2206.925594,0.0
2207.210926,0.0
2207.496258,0.0
2207.781591,0.0
2208.066923,0.0
2208.352256,0.0
2208.637588,0.0
2208.92292,0.0
2209.208253,0.0
2209.493585,0.0
2209.778917,0.0
2210.06425,0.0
2210.349582,0.0
2210.634914,0.0
2210.920247,0.0
2211.205579,0.0
2211.490912,0.0
2211.776244,0.0
2212.061576,0.0
2212.346909,0.0
2212.632241,0.0
2212.917573,0.0
2213.202906,0.0
2213.488238,0.0
2213.77357,0.0
2214.058903,0.0
2214.344235,0.0
2214.629568,0.0
2214.9149,0.0
2215.200232,0.0
2215.485565,0.0
2215.770897,0.0
2216.056229,0.0
2216.341562,0.0
2216.626894,0.0
2216.912226,0.0
2217.197559,0.0
2217.482891,0.0
2217.768224,0.0
2218.053556,0.0
2218.338888,0.0
2218.624221,0.0
2218.909553,0.0
2219.194885,0.0
2219.480218,0.0
2219.76555,0.0
2220.050883,0.0
2220.336215,0.0
2220.621547,0.0
2220.90688,0.0
2221.192212,0.0
2221.477544,0.0
2221.762877,0.0
2222.048209,0.0
2222.333541,0.0
2222.618874,0.0
2222.904206,0.0
2223.189539,0.0
2223.474871,0.0
2223.760203,0.0
2224.045536,0.0
2224.330868,0.0
2224.6162,0.0
2224.901533,0.0
2225.186865,0.0
2225.472197,0.0
2225.75753,0.0
2226.042862,0.0
2226.328195,0.0
2226.613527,0.0
2226.898859,0.0
2227.184192,0.0
2227.469524,0.0
2227.754856,0.0
2228.040189,0.0
2228.325521,0.0
2228.610853,0.0
2228.896186,0.0
2229.181518,0.0
2229.466851,0.0
2229.752183,0.0
2230.037515,0.0
2230.322848,0.0
2230.60818,0.0
2230.893512,0.0
2231.178845,0.0
2231.464177,0.0
2231.749509,0.0
2232.034842,0.0
2232.320174,0.0
2232.605507,0.0
2232.890839,0.0
2233.176171,0.0
2233.461504,0.0
2233.746836,0.0
2234.032168,0.0
2234.317501,0.0
2234.602833,0.0
2234.888166,0.0
2235.173498,0.0
2235.45883,0.0
2235.744163,0.0
2236.029495,0.0
2236.314827,0.0
