Energy (eV),Intensity
2153.853774,0.0
2154.139192,0.0
2154.424611,0.0
2154.71003,0.0
2154.995448,0.0
2155.280867,0.0
2155.566285,0.0
2155.851704,0.0
2156.137123,0.0
2156.422541,0.0
2156.70796,0.0
2156.993378,0.0
2157.278797,0.0
2157.564215,0.0
2157.849634,0.0
2158.135053,0.0
2158.420471,0.0
2158.70589,0.0
2158.991308,0.0
2159.276727,0.0
2159.562146,0.0
2159.847564,0.0
2160.132983,0.0
2160.418401,0.0
2160.70382,0.0
2160.989239,0.0
2161.274657,0.0
2161.560076,0.0
2161.845494,0.0
2162.130913,0.0
2162.416332,0.0
2162.70175,0.0
2162.987169,0.0
2163.272587,0.0
2163.558006,0.0
2163.843425,0.0
2164.128843,0.0
2164.414262,0.0
2164.69968,0.0
2164.985099,0.0
2165.270518,0.0
2165.555936,0.0
2165.841355,0.0
2166.126773,0.0
2166.412192,0.0
2166.697611,0.0
2166.983029,0.0
2167.268448,0.0
2167.553866,0.0
2167.839285,0.0
2168.124704,0.0
2168.410122,0.0
2168.695541,0.0
2168.980959,0.0
2169.266378,0.0
2169.551796,0.0
2169.837215,0.0
2170.122634,0.0
2170.408052,0.0
2170.693471,0.0
2170.978889,0.0
2171.264308,0.0
2171.549727,0.0
2171.835145,0.0
2172.120564,0.0
2172.405982,0.0
2172.691401,0.0
2172.97682,0.0
2173.262238,0.0
2173.547657,0.0
2173.833075,0.0
2174.118494,0.0
2174.403913,0.0
2174.689331,0.0
2174.97475,0.0
2175.260168,0.0
2175.545587,0.0
2175.831006,0.0
2176.116424,0.0
2176.401843,0.0
2176.687261,0.0
2176.97268,0.0
2177.258099,0.0
2177.543517,0.0
2177.828936,0.0
2178.114354,0.0
2178.399773,0.0
2178.685192,0.0
2178.97061,0.0
2179.256029,0.0
2179.541447,0.0
2179.826866,0.0
2180.112285,0.0
2180.397703,0.0
2180.683122,0.0
2180.96854,0.0
2181.253959,0.0
2181.539377,0.0
2181.824796,0.0
2182.110215,0.0
2182.395633,0.0
2182.681052,0.0
2182.96647,0.0
2183.251889,0.0
2183.537308,0.0
2183.822726,0.0
2184.108145,0.0
2184.393563,0.0
2184.678982,0.0
2184.964401,0.0
2185.249819,0.0
2185.535238,0.0
2185.820656,0.0
2186.106075,0.0
2186.391494,0.0
2186.676912,0.0
2186.962331,0.0
2187.247749,0.0
2187.533168,0.0
2187.818587,0.0
2188.104005,0.0
2188.389424,0.0
2188.674842,0.0
2188.960261,0.0
2189.24568,0.0
2189.531098,0.0
2189.816517,0.0
2190.101935,0.0
2190.387354,0.0
2190.672773,0.0
2190.958191,0.0
2191.24361,0.0
2191.529028,0.0
2191.814447,0.0
2192.099865,0.0
2192.385284,0.0
2192.670703,0.0
2192.956121,0.0
2193.24154,0.0
2193.526958,0.0
2193.812377,0.0
2194.097796,0.0
2194.383214,0.0
2194.668633,0.0
2194.954051,0.0
2195.23947,0.0
2195.524889,0.0
2195.810307,0.0
2196.095726,0.0
2196.381144,0.0
2196.666563,0.0
2196.951982,0.0
2197.2374,0.0
2197.522819,0.0
2197.808237,0.0
2198.093656,0.0
2198.379075,0.0
2198.664493,0.0
2198.949912,0.0
2199.23533,0.0
2199.520749,0.0
2199.806168,0.0
2200.091586,0.0
2200.377005,0.0
2200.662423,0.0
2200.947842,0.0
2201.233261,0.0
2201.518679,0.0
2201.804098,0.0
2202.089516,0.0
2202.374935,0.0
2202.660354,0.0
2202.945772,0.0
2203.231191,0.0
2203.516609,0.0
2203.802028,0.0
2204.087446,0.0
2204.372865,0.0
2204.658284,0.0
2204.943702,0.0
2205.229121,0.0
2205.514539,0.0
2205.799958,0.0
2206.085377,0.0
2206.370795,0.0
2206.656214,0.0
2206.941632,0.0
2207.227051,0.0
2207.51247,0.0
2207.797888,0.0
2208.083307,0.0
2208.368725,0.0
2208.654144,0.0
2208.939563,0.0
2209.224981,0.0
2209.5104,0.0
2209.795818,0.0
2210.081237,0.0
2210.366656,0.0
2210.652074,0.0
2210.937493,0.0
2211.222911,0.0
2211.50833,0.0
2211.793749,0.0
2212.079167,0.0
2212.364586,0.0
2212.650004,0.0
2212.935423,0.0
2213.220842,0.0
2213.50626,0.0
2213.791679,0.0
2214.077097,0.0
2214.362516,0.0
2214.647934,0.0
2214.933353,0.0
2215.218772,0.0
2215.50419,0.0
2215.789609,0.0
2216.075027,0.0
2216.360446,0.0
2216.645865,0.0
2216.931283,0.0
2217.216702,0.0
2217.50212,0.0
2217.787539,0.0
2218.072958,0.0
2218.358376,0.0
2218.643795,0.0
2218.929213,0.0
2219.214632,0.0
2219.500051,0.0
2219.785469,0.0
2220.070888,0.0
2220.356306,0.0
2220.641725,0.0
2220.927144,0.0
2221.212562,0.0
2221.497981,0.0
2221.783399,0.0
2222.068818,0.0
2222.354237,0.0
2222.639655,0.0
2222.925074,0.0
2223.210492,0.0
2223.495911,0.0
2223.78133,0.0
2224.066748,0.0
2224.352167,0.0
2224.637585,0.0
2224.923004,0.0
2225.208423,0.0
2225.493841,0.0
2225.77926,0.0
2226.064678,0.0
2226.350097,0.0
2226.635515,0.0
2226.920934,0.0
2227.206353,0.0
2227.491771,0.0
2227.77719,0.0
2228.062608,0.0
2228.348027,0.0
2228.633446,0.0
2228.918864,0.0
2229.204283,0.0
2229.489701,0.0
2229.77512,0.0
2230.060539,0.0
2230.345957,0.0
2230.631376,0.0
2230.916794,0.0
2231.202213,0.0
2231.487632,0.0
2231.77305,0.0
2232.058469,0.0
2232.343887,0.0
2232.629306,0.0
2232.914725,0.0
2233.200143,0.0
2233.485562,0.0
2233.77098,0.0
2234.056399,0.0
2234.341818,0.0
2234.627236,0.0
2234.912655,0.0
2235.198073,0.0
2235.483492,0.0
2235.768911,0.0
2236.054329,0.0
2236.339748,0.0
2236.625166,0.0
2236.910585,0.0
2237.196004,0.0
2237.481422,0.0
2237.766841,0.0
2238.052259,0.0
2238.337678,0.0
2238.623096,0.0
2238.908515,0.0
2239.193934,0.0
2239.479352,0.0
2239.764771,0.0
2240.050189,0.0
2240.335608,0.0
2240.621027,0.0
2240.906445,0.0
2241.191864,0.0
2241.477282,0.0
2241.762701,0.0
2242.04812,0.0
2242.333538,0.0
2242.618957,0.0
2242.904375,0.0
2243.189794,0.0
2243.475213,0.0
2243.760631,0.0
2244.04605,0.0
2244.331468,0.0
2244.616887,0.0
2244.902306,0.0
2245.187724,0.0
2245.473143,0.0
2245.758561,0.0
2246.04398,0.0
2246.329399,0.0
2246.614817,0.0
2246.900236,0.0
2247.185654,0.0
2247.471073,0.0
2247.756492,0.0
2248.04191,0.0
2248.327329,0.0
2248.612747,0.0
2248.898166,0.0
2249.183584,0.0
2249.469003,0.0
2249.754422,0.0
2250.03984,0.0
2250.325259,0.0
2250.610677,0.0
2250.896096,0.0
2251.181515,0.0
2251.466933,0.0
2251.752352,0.0
2252.03777,0.0
2252.323189,0.0
2252.608608,0.0
2252.894026,0.0
2253.179445,0.0
2253.464863,0.0
2253.750282,0.0
2254.035701,0.0
2254.321119,0.0
2254.606538,0.0
2254.891956,0.0
2255.177375,0.0
2255.462794,0.0
2255.748212,0.0
2256.033631,0.0
2256.319049,0.0
2256.604468,0.0
2256.889887,0.0
2257.175305,0.0
2257.460724,0.0
2257.746142,0.0
2258.031561,0.0
2258.31698,0.0
2258.602398,0.0
2258.887817,0.0
2259.173235,0.0
2259.458654,0.0
2259.744073,0.0
2260.029491,0.0
2260.31491,0.0
2260.600328,0.0
2260.885747,0.0
2261.171165,0.0
2261.456584,0.0
2261.742003,0.0
2262.027421,0.0
2262.31284,0.0
2262.598258,0.0
2262.883677,0.0
2263.169096,0.0
2263.454514,0.0
2263.739933,0.0
2264.025351,0.0
2264.31077,0.0
2264.596189,0.0
2264.881607,0.0
2265.167026,0.0
2265.452444,0.0
2265.737863,0.0
2266.023282,0.0
2266.3087,0.0
2266.594119,0.0
2266.879537,0.0
2267.164956,0.0
2267.450375,0.0
2267.735793,0.0
2268.021212,0.0
2268.30663,0.0
2268.592049,0.0
2268.877468,0.0
2269.162886,0.0
2269.448305,0.0
2269.733723,0.0
2270.019142,0.0
2270.304561,0.0
2270.589979,0.0
2270.875398,0.0
2271.160816,0.0
2271.446235,0.0
2271.731653,0.0
2272.017072,0.0
2272.302491,0.0
2272.587909,0.0
2272.873328,0.0
2273.158746,0.0
2273.444165,0.0
2273.729584,0.0
2274.015002,0.0
2274.300421,0.0
2274.585839,0.0
2274.871258,0.0
2275.156677,0.0
2275.442095,0.0
2275.727514,0.0
2276.012932,0.0
2276.298351,0.0
2276.58377,0.0
2276.869188,0.0
2277.154607,0.0
2277.440025,0.0
2277.725444,0.0
2278.010863,0.0
2278.296281,0.0
2278.5817,0.0
2278.867118,0.0
2279.152537,0.0
2279.437956,0.0
2279.723374,0.0
2280.008793,0.0
2280.294211,0.0
2280.57963,0.0
2280.865049,0.0
2281.150467,0.0
2281.435886,0.0
2281.721304,0.0
2282.006723,0.0
2282.292142,0.0
2282.57756,0.0
2282.862979,0.0
2283.148397,0.0
2283.433816,0.0
2283.719234,0.0
2284.004653,0.0
2284.290072,0.0
2284.57549,0.0
2284.860909,0.0
2285.146327,0.0
2285.431746,0.0
2285.717165,0.0
2286.002583,0.0
2286.288002,0.0
2286.57342,0.0
2286.858839,0.0
2287.144258,0.0
2287.429676,0.0
2287.715095,0.0
2288.000513,0.0
2288.285932,0.0
2288.571351,0.0
2288.856769,0.0
2289.142188,0.0
2289.427606,0.0
2289.713025,0.0
2289.998444,0.0
2290.283862,0.0
2290.569281,0.0
2290.854699,0.0
2291.140118,0.0
2291.425537,0.0
2291.710955,0.0
2291.996374,0.0
2292.281792,0.0
2292.567211,0.0
2292.85263,0.0
2293.138048,0.0
2293.423467,0.0
2293.708885,0.0
2293.994304,0.0
2294.279723,0.0
2294.565141,0.0
2294.85056,0.0
2295.135978,0.0
2295.421397,0.0
2295.706815,0.0
2295.992234,0.0
2296.277653,0.0
2296.563071,0.0
2296.84849,0.0
2297.133908,0.0
2297.419327,0.0
2297.704746,0.0
2297.990164,0.0
2298.275583,0.0
2298.561001,0.0
2298.84642,0.0
2299.131839,0.0
2299.417257,0.0
2299.702676,0.0
2299.988094,0.0
2300.273513,0.0
2300.558932,0.0
2300.84435,0.0
2301.129769,0.0
2301.415187,0.0
2301.700606,0.0
2301.986025,0.0
2302.271443,0.0
2302.556862,0.0
2302.84228,0.0
2303.127699,0.0
2303.413118,0.0
2303.698536,0.0
2303.983955,0.0
2304.269373,0.0
2304.554792,0.0
2304.840211,0.0
2305.125629,0.0
2305.411048,0.0
2305.696466,0.0
2305.981885,0.0
2306.267303,0.0
2306.552722,0.0
2306.838141,0.0
2307.123559,0.0
2307.408978,0.0
2307.694396,0.0
2307.979815,0.0
2308.265234,0.0
2308.550652,0.0
2308.836071,0.0
2309.121489,0.0
2309.406908,0.0
2309.692327,0.0
2309.977745,0.0
2310.263164,0.0
2310.548582,0.0
2310.834001,0.0
2311.11942,0.0
2311.404838,0.0
2311.690257,0.0
2311.975675,0.0
2312.261094,0.0
2312.546513,0.0
2312.831931,0.0
2313.11735,0.0
2313.402768,0.0
2313.688187,0.0
2313.973606,0.0
2314.259024,0.0
2314.544443,0.0
2314.829861,0.0
2315.11528,0.0
2315.400699,0.0
2315.686117,0.0
2315.971536,0.0
2316.256954,0.0
2316.542373,0.0
2316.827792,0.0
2317.11321,0.0
2317.398629,0.0
2317.684047,0.0
2317.969466,0.0
2318.254884,0.0
2318.540303,0.0
2318.825722,0.0
2319.11114,0.0
2319.396559,0.0
2319.681977,0.0
2319.967396,0.0
2320.252815,0.0
2320.538233,0.0
2320.823652,0.0
2321.10907,0.0
2321.394489,0.0
2321.679908,0.0
2321.965326,0.0
2322.250745,0.0
2322.536163,0.0
2322.821582,0.0
2323.107001,0.0
2323.392419,0.0
2323.677838,0.0
2323.963256,0.0
2324.248675,0.0
2324.534094,0.0
2324.819512,0.0
2325.104931,0.0
2325.390349,0.0
2325.675768,0.0
2325.961187,0.0
2326.246605,0.0
2326.532024,0.0
2326.817442,0.0
2327.102861,0.0
2327.38828,0.0
2327.673698,0.0
2327.959117,0.0
2328.244535,0.0
2328.529954,0.0
2328.815372,0.0
2329.100791,0.0
2329.38621,0.0
2329.671628,0.0
2329.957047,0.0
2330.242465,0.0
2330.527884,0.0
2330.813303,0.0
2331.098721,0.0
2331.38414,0.0
2331.669558,0.0
2331.954977,0.0
2332.240396,0.0
2332.525814,0.0
2332.811233,0.0
2333.096651,0.0
2333.38207,0.0
2333.667489,0.0
2333.952907,0.0
2334.238326,0.0
2334.523744,0.0
2334.809163,0.0
2335.094582,0.0
2335.38,0.0
2335.665419,0.0
2335.950837,0.0
2336.236256,0.0
2336.521675,0.0
2336.807093,0.0
2337.092512,0.0
2337.37793,0.0
2337.663349,0.0
2337.948768,0.0
2338.234186,0.0
2338.519605,0.0
2338.805023,0.0
2339.090442,0.0
2339.375861,0.0
2339.661279,0.0
2339.946698,0.0
2340.232116,0.0
2340.517535,0.0
2340.802953,0.0
2341.088372,0.0
2341.373791,0.0
2341.659209,0.0
2341.944628,0.0
2342.230046,0.0
2342.515465,0.0
2342.800884,0.0
2343.086302,0.0
2343.371721,0.0
2343.657139,0.0
2343.942558,0.0
2344.227977,0.0
2344.513395,0.0
2344.798814,0.0
2345.084232,0.0
2345.369651,0.0
2345.65507,0.0
2345.940488,0.0
2346.225907,0.0
2346.511325,0.0
2346.796744,0.0
2347.082163,0.0
2347.367581,0.0
2347.653,0.0
2347.938418,0.0
2348.223837,0.0
2348.509256,0.0
2348.794674,0.0
2349.080093,0.0
2349.365511,0.0
2349.65093,0.0
2349.936349,0.0
2350.221767,0.0
2350.507186,0.0
2350.792604,0.0
2351.078023,0.0
2351.363441,0.0
2351.64886,0.0
2351.934279,0.0
2352.219697,0.0
2352.505116,0.0
2352.790534,0.0
2353.075953,0.0
2353.361372,0.0
2353.64679,0.0
2353.932209,0.0
2354.217627,0.0
2354.503046,0.0
2354.788465,0.0
2355.073883,0.0
2355.359302,0.0
2355.64472,0.0
2355.930139,0.0
2356.215558,0.0
2356.500976,0.0
2356.786395,0.0
2357.071813,0.0
2357.357232,0.0
2357.642651,0.0
2357.928069,0.0
2358.213488,0.0
2358.498906,0.0
2358.784325,0.0
2359.069744,0.0
2359.355162,0.0
2359.640581,0.0
2359.925999,0.0
2360.211418,0.0
2360.496837,0.0
2360.782255,0.0
2361.067674,0.0
2361.353092,0.0
2361.638511,0.0
2361.92393,0.0
2362.209348,0.0
2362.494767,0.0
2362.780185,0.0
2363.065604,0.0
2363.351022,0.0
2363.636441,0.0
2363.92186,0.0
2364.207278,0.0
2364.492697,0.0
2364.778115,0.0
2365.063534,0.0
2365.348953,0.0
2365.634371,0.0
2365.91979,0.0
2366.205208,0.0
2366.490627,0.0
2366.776046,0.0
2367.061464,0.0
2367.346883,0.0
2367.632301,0.0
2367.91772,0.0
2368.203139,0.0
2368.488557,0.0
2368.773976,0.0
2369.059394,0.0
2369.344813,0.0
2369.630232,0.0
2369.91565,0.0
2370.201069,0.0
2370.486487,0.0
2370.771906,0.0
2371.057325,0.0
2371.342743,0.0
2371.628162,0.0
2371.91358,0.0
2372.198999,0.0
2372.484418,0.0
2372.769836,0.0
2373.055255,0.0
2373.340673,0.0
2373.626092,0.0
2373.911511,0.0
2374.196929,0.0
2374.482348,0.0
2374.767766,0.0
2375.053185,0.0
2375.338603,0.0
2375.624022,0.0
2375.909441,0.0
