Energy (eV),Intensity
2153.853774,0.0
2154.139374,0.0
2154.424975,0.0
2154.710576,0.0
2154.996177,0.0
2155.281777,0.0
2155.567378,0.0
2155.852979,0.0
2156.138579,0.0
2156.42418,0.0
2156.709781,0.0
2156.995381,0.0
2157.280982,0.0
2157.566583,0.0
2157.852184,0.0
2158.137784,0.0
2158.423385,0.0
2158.708986,0.0
2158.994586,0.0
2159.280187,0.0
2159.565788,0.0
2159.851388,0.0
2160.136989,0.0
2160.42259,0.0
2160.70819,0.0
2160.993791,0.0
2161.279392,0.0
2161.564993,0.0
2161.850593,0.0
2162.136194,0.0
2162.421795,0.0
2162.707395,0.0
2162.992996,0.0
2163.278597,0.0
2163.564197,0.0
2163.849798,0.0
2164.135399,0.0
2164.421,0.0
2164.7066,0.0
2164.992201,0.0
2165.277802,0.0
2165.563402,0.0
2165.849003,0.0
2166.134604,0.0
2166.420204,0.0
2166.705805,0.0
2166.991406,0.0
2167.277007,0.0
2167.562607,0.0
2167.848208,0.0
2168.133809,0.0
2168.419409,0.0
2168.70501,0.0
2168.990611,0.0
2169.276211,0.0
2169.561812,0.0
2169.847413,0.0
2170.133013,0.0
2170.418614,0.0
2170.704215,0.0
2170.989816,0.0
2171.275416,0.0
2171.561017,0.0
2171.846618,0.0
2172.132218,0.0
2172.417819,0.0
2172.70342,0.0
2172.98902,0.0
2173.274621,0.0
2173.560222,0.0
2173.845823,0.0
2174.131423,0.0
2174.417024,0.0
2174.702625,0.0
2174.988225,0.0
2175.273826,0.0
2175.559427,0.0
2175.845027,0.0
2176.130628,0.0
2176.416229,0.0
2176.701829,0.0
2176.98743,0.0
2177.273031,0.0
2177.558632,0.0
2177.844232,0.0
2178.129833,0.0
2178.415434,0.0
2178.701034,0.0
2178.986635,0.0
2179.272236,0.0
2179.557836,0.0
2179.843437,0.0
2180.129038,0.0
2180.414639,0.0
2180.700239,0.0
2180.98584,0.0
2181.271441,0.0
2181.557041,0.0
2181.842642,0.0
2182.128243,0.0
2182.413843,0.0
2182.699444,0.0
2182.985045,0.0
2183.270646,0.0
2183.556246,0.0
2183.841847,0.0
2184.127448,0.0
2184.413048,0.0
2184.698649,0.0
2184.98425,0.0
2185.26985,0.0
2185.555451,0.0
2185.841052,0.0
2186.126652,0.0
2186.412253,0.0
2186.697854,0.0
2186.983455,0.0
2187.269055,0.0
2187.554656,0.0
2187.840257,0.0
2188.125857,0.0
2188.411458,0.0
2188.697059,0.0
2188.982659,0.0
2189.26826,0.0
2189.553861,0.0
2189.839462,0.0
2190.125062,0.0
2190.410663,0.0
2190.696264,0.0
2190.981864,0.0
2191.267465,0.0
2191.553066,0.0
2191.838666,0.0
2192.124267,0.0
2192.409868,0.0
2192.695468,0.0
2192.981069,0.0
2193.26667,0.0
2193.552271,0.0
2193.837871,0.0
2194.123472,0.0
2194.409073,0.0
2194.694673,0.0
2194.980274,0.0
2195.265875,0.0
2195.551475,0.0
2195.837076,0.0
2196.122677,0.0
2196.408278,0.0
2196.693878,0.0
2196.979479,0.0
2197.26508,0.0
2197.55068,0.0
2197.836281,0.0
2198.121882,0.0
2198.407482,0.0
2198.693083,0.0
2198.978684,0.0
2199.264285,0.0
2199.549885,0.0
2199.835486,0.0
2200.121087,0.0
2200.406687,0.0
2200.692288,0.0
2200.977889,0.0
2201.263489,0.0
2201.54909,0.0
2201.834691,0.0
2202.120291,0.0
2202.405892,0.0
2202.691493,0.0
2202.977094,0.0
2203.262694,0.0
2203.548295,0.0
2203.833896,0.0
2204.119496,0.0
2204.405097,0.0
2204.690698,0.0
2204.976298,0.0
2205.261899,0.0
2205.5475,0.0
2205.833101,0.0
2206.118701,0.0
2206.404302,0.0
2206.689903,0.0
2206.975503,0.0
2207.261104,0.0
2207.546705,0.0
2207.832305,0.0
2208.117906,0.0
2208.403507,0.0
2208.689107,0.0
2208.974708,0.0
2209.260309,0.0
2209.54591,0.0
2209.83151,0.0
2210.117111,0.0
2210.402712,0.0
2210.688312,0.0
2210.973913,0.0
2211.259514,0.0
2211.545114,0.0
2211.830715,0.0
2212.116316,0.0
2212.401917,0.0
2212.687517,0.0
2212.973118,0.0
2213.258719,0.0
2213.544319,0.0
2213.82992,0.0
2214.115521,0.0
2214.401121,0.0
2214.686722,0.0
2214.972323,0.0
2215.257924,0.0
2215.543524,0.0
2215.829125,0.0
2216.114726,0.0
2216.400326,0.0
2216.685927,0.0
